City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kodiak,57.79,-152.4072,2.73,87,100,3.6,US,1712883971
84,polva,58.0603,27.0694,8.96,87,100,6.33,EE,1712884122
85,fort st. john,56.2499,-120.8529,9.94,40,100,4.12,CA,1712883938
86,longyearbyen,78.2186,15.6401,-15.09,66,0,1.03,SJ,1712883950
87,mckinleyville,40.9465,-124.1006,17.37,75,0,7.2,US,1712884122
88,blackmans bay,-43.0167,147.3167,16.07,69,98,3.46,AU,1712884122
89,kiunga,-6.1219,141.2906,24.27,98,100,0.65,PG,1712884122
90,tutoia,-2.7619,-42.2744,26.24,89,99,3.03,BR,1712884123
91,nyurba,63.2842,118.3319,-16.45,88,77,2.26,RU,1712884048
92,illizi,26.4833,8.4667,18.16,42,0,5.67,DZ,1712884123
93,inarajan village,13.2736,144.7484,31.54,83,100,6.32,GU,1712883887
94,utrik,11.2278,169.8474,26.57,73,100,8.9,MH,1712884123
95,dudinka,69.4058,86.1778,-29.62,99,52,3.58,RU,1712883886
96,nanpiao,41.0982,120.7479,20.21,46,59,6.15,CN,1712883836
97,saynshand,44.8824,110.1163,12.71,32,99,2.82,MN,1712884123
98,port douglas,-16.4833,145.4667,26.62,61,38,3.94,AU,1712884015
99,klyuchi,52.2667,79.1667,-2.77,73,4,2.65,RU,1712883896
100,hilo,19.7297,-155.09,23.85,93,100,3.6,US,1712883828
101,ancud,-41.8697,-73.8203,8.92,73,0,2.4,CL,1712884124
102,east london,-33.0153,27.9116,15.88,65,87,6.5,ZA,1712884010
103,labrador city,52.9463,-66.9114,4.54,56,40,4.63,CA,1712883902
104,sisimiut,66.9395,-53.6735,-5.75,88,93,2.29,GL,1712883970
105,meadow lakes,61.6247,-149.6011,5.31,55,100,2.24,US,1712884124
106,viesite,56.3475,25.5551,9.65,86,100,5.5,LV,1712884124
107,ushuaia,-54.8,-68.3,7.81,71,0,12.86,AR,1712884050
108,fandriana,-20.2333,47.3833,15.6,95,100,1.0,MG,1712884039
109,keren,15.7778,38.4581,22.17,62,0,1.78,ER,1712884124
110,petrolina,-9.3986,-40.5008,27.03,83,0,3.09,BR,1712884070
111,den burg,53.0542,4.7972,13.31,99,100,8.23,NL,1712884125
112,la passe,45.5549,-0.8967,12.13,93,11,3.15,FR,1712884125
113,yuzhno-kurilsk,44.0306,145.8556,4.65,76,100,4.51,RU,1712884125
114,bubaque,11.2833,-15.8333,24.11,71,3,9.88,GW,1712884125
115,tafuna,-14.3358,-170.72,32.97,70,40,2.06,AS,1712884125
116,kajaani,64.2273,27.7285,2.03,87,100,4.12,FI,1712884125
117,constitucion,-35.3333,-72.4167,11.14,87,42,1.05,CL,1712884126
118,west island,-12.1568,96.8225,27.99,78,40,3.09,CC,1712883933
119,badger,64.8,-147.5333,7.14,46,75,6.17,US,1712884126
120,hamilton,39.1834,-84.5333,12.43,89,100,7.6,US,1712883547
121,vorgashor,67.5833,63.95,-9.55,87,100,8.02,RU,1712883843
122,borgarnes,64.5383,-21.9206,2.67,92,100,3.06,IS,1712884126
123,avarua,-21.2078,-159.775,29.03,84,75,8.23,CK,1712884126
124,n'zeto,-7.2312,12.8666,26.66,82,100,3.8,AO,1712883858
125,mount gambier,-37.8333,140.7667,14.94,56,100,2.29,AU,1712884126
126,gaoyou,32.7858,119.4278,14.92,97,100,3.5,CN,1712884126
